date,death
20200122,0.0
20200123,0.0
20200124,0.0
20200125,0.0
20200126,0.0
20200127,0.0
20200128,0.0
20200129,0.0
20200130,0.0
20200131,0.0
20200201,0.0
20200202,0.0
20200203,0.0
20200204,0.0
20200205,0.0
20200206,0.0
20200207,0.0
20200208,0.0
20200209,0.0
20200210,0.0
20200211,0.0
20200212,0.0
20200213,0.0
20200214,0.0
20200215,0.0
20200216,0.0
20200217,0.0
20200218,0.0
20200219,0.0
20200220,0.0
20200221,0.0
20200222,0.0
20200223,0.0
20200224,0.0
20200225,0.0
20200226,2.0
20200227,2.0
20200228,4.0
20200229,5.0
20200301,8.0
20200302,11.0
20200303,14.0
20200304,16.0
20200305,20.0
20200306,26.0
20200307,27.0
20200308,31.0
20200309,35.0
20200310,37.0
20200311,43.0
20200312,51.0
20200313,55.0
20200314,63.0
20200315,77.0
20200316,98.0
20200317,120.0
20200318,145.0
20200319,189.0
20200320,253.0
20200321,306.0
20200322,437.0
20200323,521.0
20200324,725.0
20200325,953.0
20200326,1231.0
20200327,1604.0
20200328,2038.0
20200329,2527.0
20200330,3060.0
20200331,3877.0
20200401,4823.0
20200402,5924.0
20200403,7112.0
20200404,8487.0
20200405,9714.0
20200406,10937.0
20200407,12841.0
20200408,14737.0
20200409,16659.0
20200410,18751.0
20200411,20686.0
20200412,22237.0
20200413,23754.0
20200414,26066.0
20200415,28628.0
20200416,30789.0
20200417,32854.0
20200418,34641.0
20200419,36300.0
20200420,37999.0
20200421,40554.0
20200422,42595.0
20200423,44409.0
20200424,46251.0
20200425,48069.0
20200426,49164.0
20200427,50354.0
20200428,52482.0
20200429,55182.0
20200430,57320.0
20200501,59059.0
20200502,60710.0
20200503,61868.0
20200504,62780.0
20200505,65307.0
20200506,67256.0
20200507,70002.0
20200508,71762.0
20200509,73291.0
20200510,74270.0
20200511,75107.0
20200512,76650.0
20200513,78343.0
20200514,80084.0
